Geo_Name	state_code	Survey_Year	Tax_Type	item	Amount
United States	0	2016	Total Taxes	T00	930,875,000
United States	0	2016	Property Taxes	T01	18,315,142
United States	0	2016	Sales and Gross Receipts Taxes	TA1	442,941,788
United States	0	2016	License Taxes	TA3	54,089,496
United States	0	2016	Income Taxes	TA4	390,415,623
United States	0	2016	Other Taxes	TA5	25,112,951
Alabama	01	2016	Total Taxes	T00	10,355,317
Alabama	01	2016	Property Taxes	T01	362,515
Alabama	01	2016	Sales and Gross Receipts Taxes	TA1	5,214,390
Alabama	01	2016	License Taxes	TA3	575,510
Alabama	01	2016	Income Taxes	TA4	4,098,278
Alabama	01	2016	Other Taxes	TA5	104,624
Alaska	02	2016	Total Taxes	T00	896,921
Alaska	02	2016	Property Taxes	T01	111,736
Alaska	02	2016	Sales and Gross Receipts Taxes	TA1	260,846
Alaska	02	2016	License Taxes	TA3	120,081
Alaska	02	2016	Income Taxes	TA4	67,457
Alaska	02	2016	Other Taxes	TA5	336,801
Arizona	03	2016	Total Taxes	T00	15,019,709
Arizona	03	2016	Property Taxes	T01	943,008
Arizona	03	2016	Sales and Gross Receipts Taxes	TA1	8,964,846
Arizona	03	2016	License Taxes	TA3	482,362
Arizona	03	2016	Income Taxes	TA4	4,539,432
Arizona	03	2016	Other Taxes	TA5	90,061
Arkansas	04	2016	Total Taxes	T00	9,430,833
Arkansas	04	2016	Property Taxes	T01	1,097,908
Arkansas	04	2016	Sales and Gross Receipts Taxes	TA1	4,590,072
Arkansas	04	2016	License Taxes	TA3	396,891
Arkansas	04	2016	Income Taxes	TA4	3,231,617
Arkansas	04	2016	Other Taxes	TA5	114,345
California	05	2016	Total Taxes	T00	155,191,714
California	05	2016	Property Taxes	T01	2,513,157
California	05	2016	Sales and Gross Receipts Taxes	TA1	51,602,180
California	05	2016	License Taxes	TA3	10,275,132
California	05	2016	Income Taxes	TA4	90,655,530
California	05	2016	Other Taxes	TA5	145,715
Colorado	06	2016	Total Taxes	T00	12,887,859
Colorado	06	2016	Property Taxes	T01	X
Colorado	06	2016	Sales and Gross Receipts Taxes	TA1	4,989,402
Colorado	06	2016	License Taxes	TA3	702,667
Colorado	06	2016	Income Taxes	TA4	7,111,711
Colorado	06	2016	Other Taxes	TA5	84,079
Connecticut	07	2016	Total Taxes	T00	15,659,420
Connecticut	07	2016	Property Taxes	T01	X
Connecticut	07	2016	Sales and Gross Receipts Taxes	TA1	6,518,905
Connecticut	07	2016	License Taxes	TA3	454,779
Connecticut	07	2016	Income Taxes	TA4	8,322,645
Connecticut	07	2016	Other Taxes	TA5	363,091
Delaware	08	2016	Total Taxes	T00	3,522,405
Delaware	08	2016	Property Taxes	T01	X
Delaware	08	2016	Sales and Gross Receipts Taxes	TA1	539,193
Delaware	08	2016	License Taxes	TA3	1,452,700
Delaware	08	2016	Income Taxes	TA4	1,430,520
Delaware	08	2016	Other Taxes	TA5	99,992
DC	09	2016	Total Taxes	T00	7,404,521
DC	09	2016	Property Taxes	T01	2,416,604
DC	09	2016	Sales and Gross Receipts Taxes	TA1	1,783,981
DC	09	2016	License Taxes	TA3	180,380
DC	09	2016	Income Taxes	TA4	2,464,330
DC	09	2016	Other Taxes	TA5	559,226
Florida	10	2016	Total Taxes	T00	38,507,524
Florida	10	2016	Property Taxes	T01	X
Florida	10	2016	Sales and Gross Receipts Taxes	TA1	31,296,426
Florida	10	2016	License Taxes	TA3	2,241,468
Florida	10	2016	Income Taxes	TA4	2,272,230
Florida	10	2016	Other Taxes	TA5	2,697,400
Georgia	11	2016	Total Taxes	T00	21,606,561
Georgia	11	2016	Property Taxes	T01	961,881
Georgia	11	2016	Sales and Gross Receipts Taxes	TA1	8,409,384
Georgia	11	2016	License Taxes	TA3	663,946
Georgia	11	2016	Income Taxes	TA4	11,420,536
Georgia	11	2016	Other Taxes	TA5	150,814
Hawaii	12	2016	Total Taxes	T00	6,919,035
Hawaii	12	2016	Property Taxes	T01	X
Hawaii	12	2016	Sales and Gross Receipts Taxes	TA1	4,315,902
Hawaii	12	2016	License Taxes	TA3	263,130
